,Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Private education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
0,2003-10-01,0.0,133.0,3.0,1.0,-13.0,-0.2999999999992724,18.700000000000728,9.199999999999818,-0.10000000000002274,-7.0,-10.0,22.0,59.0,51.0,-1.0,54.0,-7.0,7.0,54.0
1,2003-11-01,0.0,66.0,3.0,12.0,-18.0,2.0999999999994543,-24.0,3.5,-1.5,-5.0,-7.0,38.0,36.0,25.0,2.0,-23.0,-14.0,1.0,-10.0
2,2003-12-01,0.0,102.0,-1.0,31.0,-16.0,12.199999999999818,-2.5,-13.199999999999818,-0.7000000000000455,0.0,-7.0,27.0,38.0,36.0,-1.0,11.0,12.0,-7.0,6.0
3,2004-01-01,0.0,178.0,1.0,21.0,-10.0,11.400000000000546,43.100000000000364,30.099999999999454,-0.599999999999909,-9.0,2.0,29.0,32.0,26.0,2.0,-8.0,-8.0,-16.0,16.0
4,2004-02-01,0.0,45.0,1.0,-10.0,-11.0,5.699999999999818,-0.9000000000014552,4.600000000000364,-1.5,0.0,0.0,13.0,18.0,26.0,0.0,12.0,-1.0,2.0,11.0
5,2004-03-01,0.0,279.0,7.0,49.0,8.0,6.600000000000364,49.5,16.699999999999818,0.1999999999999318,-7.0,7.0,27.0,49.0,53.0,13.0,38.0,0.0,6.0,32.0
6,2004-04-01,0.0,245.0,3.0,14.0,28.0,20.199999999999818,20.0,-6.199999999999818,-0.1999999999999318,-4.0,12.0,112.0,35.0,10.0,1.0,26.0,22.0,0.0,4.0
7,2004-05-01,0.0,284.0,4.0,47.0,27.0,2.5,15.100000000000364,12.899999999999636,-1.5,5.0,18.0,73.0,35.0,46.0,0.0,0.0,-23.0,-2.0,25.0
8,2004-06-01,0.0,108.0,0.0,14.0,-10.0,4.300000000000182,22.899999999999636,14.600000000000364,-1.5,1.0,1.0,32.0,15.0,14.0,1.0,-13.0,0.0,7.0,-20.0
9,2004-07-01,0.0,55.0,3.0,15.0,-2.0,8.5,-16.599999999998545,9.699999999999818,-1.7000000000000455,-12.0,-17.0,40.0,34.0,0.0,-6.0,5.0,-1.0,4.0,2.0
10,2004-08-01,0.0,67.0,1.0,26.0,15.0,8.399999999999636,1.5999999999985448,6.300000000000182,-3.2999999999999545,-16.0,8.0,-2.0,36.0,-10.0,-4.0,20.0,0.0,3.0,17.0
11,2004-09-01,0.0,137.0,2.0,26.0,-14.0,12.699999999999818,23.400000000001455,12.300000000000182,-0.5,-12.0,13.0,23.0,-9.0,65.0,-5.0,9.0,0.0,0.0,9.0
12,2004-10-01,0.0,330.0,-3.0,48.0,1.0,4.600000000000364,28.099999999998545,9.299999999999272,-1.8000000000000682,3.0,-5.0,119.0,103.0,32.0,-8.0,21.0,-5.0,8.0,18.0
13,2004-11-01,0.0,40.0,5.0,14.0,-25.0,1.5999999999994543,21.400000000001455,-1.5999999999994543,-2.7999999999999545,-11.0,2.0,-18.0,27.0,24.0,3.0,36.0,3.0,5.0,28.0
14,2004-12-01,0.0,123.0,2.0,26.0,-20.0,13.700000000000728,-6.700000000000728,17.800000000000182,0.0,-11.0,16.0,16.0,45.0,24.0,0.0,1.0,1.0,-3.0,3.0
15,2005-01-01,0.0,103.0,6.0,-22.0,-30.0,-6.100000000000364,19.0,9.099999999999454,1.8999999999999773,-6.0,10.0,54.0,34.0,35.0,-2.0,42.0,-1.0,24.0,19.0
16,2005-02-01,0.0,246.0,3.0,58.0,16.0,13.399999999999636,40.20000000000073,13.300000000000182,-0.2999999999999545,-14.0,3.0,84.0,10.0,25.0,-5.0,9.0,1.0,-4.0,12.0
17,2005-03-01,0.0,124.0,6.0,28.0,-4.0,9.700000000000728,2.7999999999992724,9.800000000000182,-2.2000000000000455,5.0,-7.0,29.0,26.0,28.0,-7.0,-4.0,5.0,-2.0,-7.0
18,2005-04-01,0.0,349.0,4.0,85.0,-19.0,11.099999999999454,49.70000000000073,15.199999999999818,-0.2999999999999545,4.0,11.0,60.0,38.0,84.0,6.0,14.0,-8.0,6.0,16.0
19,2005-05-01,0.0,144.0,2.0,28.0,6.0,12.199999999999818,16.0,9.699999999999818,-0.8000000000000682,-4.0,4.0,23.0,61.0,-5.0,-8.0,27.0,9.0,3.0,15.0
20,2005-06-01,0.0,271.0,3.0,39.0,-29.0,10.700000000000728,34.599999999998545,0.6999999999998181,-0.5,-5.0,18.0,89.0,57.0,40.0,13.0,-18.0,-1.0,7.0,-24.0
21,2005-07-01,0.0,263.0,1.0,20.0,-1.0,10.0,41.0,12.5,0.39999999999997726,4.0,19.0,66.0,54.0,30.0,6.0,94.0,-5.0,11.0,88.0
22,2005-08-01,4243.0,192.0,4.0,41.0,-23.0,10.099999999999454,16.0,5.0,0.5,2.0,24.0,59.0,34.0,24.0,-4.0,6.0,3.0,-2.0,5.0
23,2005-09-01,56.0,74.0,6.0,21.0,-28.0,5.600000000000364,-27.19999999999891,3.100000000000364,-1.099999999999909,7.0,9.0,70.0,39.0,-29.0,-2.0,-18.0,1.0,2.0,-21.0
24,2005-10-01,93.0,109.0,4.0,45.0,17.0,8.800000000000182,-3.3000000000010914,6.800000000000182,0.0,-15.0,35.0,21.0,23.0,-22.0,-11.0,-16.0,3.0,-3.0,-16.0
25,2005-11-01,357.0,327.0,7.0,64.0,-5.0,11.599999999999454,31.900000000001455,13.199999999999818,-0.900000000000091,0.0,22.0,79.0,52.0,44.0,8.0,30.0,4.0,8.0,18.0
26,2005-12-01,160.0,140.0,3.0,9.0,6.0,12.300000000000182,6.5,4.800000000000182,-1.6999999999999318,-3.0,3.0,34.0,30.0,21.0,15.0,20.0,-6.0,16.0,10.0
27,2006-01-01,264.0,296.0,6.0,68.0,17.0,19.600000000000364,-12.800000000001091,16.599999999999454,-0.8000000000000682,2.0,21.0,53.0,52.0,40.0,15.0,-32.0,-6.0,-28.0,2.0
28,2006-02-01,306.0,275.0,6.0,63.0,-1.0,15.599999999999454,5.800000000001091,10.200000000000728,0.3000000000000682,-2.0,28.0,61.0,52.0,35.0,1.0,31.0,6.0,16.0,9.0
29,2006-03-01,309.0,284.0,6.0,25.0,5.0,15.5,26.69999999999891,-0.3000000000001819,-2.6000000000000227,3.0,17.0,87.0,47.0,54.0,1.0,25.0,0.0,10.0,15.0
30,2006-04-01,171.0,155.0,10.0,37.0,12.0,11.900000000000546,-33.69999999999891,15.5,1.3999999999999773,-8.0,22.0,21.0,25.0,40.0,0.0,16.0,0.0,5.0,11.0
31,2006-05-01,36.0,29.0,3.0,-13.0,-23.0,11.799999999999272,-32.400000000001455,12.5,-0.6000000000000227,-8.0,4.0,58.0,30.0,-22.0,9.0,7.0,1.0,8.0,-2.0
32,2006-06-01,81.0,85.0,5.0,-14.0,10.0,3.9000000000005457,12.900000000001455,5.5,-0.6999999999999318,-3.0,-12.0,69.0,2.0,9.0,-2.0,-4.0,2.0,-3.0,-3.0
33,2006-07-01,194.0,143.0,4.0,13.0,-25.0,8.599999999999454,1.0999999999985448,14.399999999999636,0.2999999999999545,-5.0,2.0,39.0,26.0,69.0,-5.0,51.0,4.0,6.0,41.0
34,2006-08-01,166.0,128.0,2.0,8.0,-29.0,8.200000000000728,2.600000000000364,-0.3999999999996362,0.10000000000002274,4.0,7.0,46.0,54.0,22.0,4.0,38.0,-7.0,9.0,36.0
35,2006-09-01,136.0,65.0,2.0,-2.0,-34.0,8.899999999999636,2.100000000000364,9.199999999999818,0.5,-7.0,16.0,-10.0,66.0,-2.0,15.0,71.0,-1.0,15.0,57.0
36,2006-10-01,24.0,38.0,5.0,-36.0,-50.0,-1.699999999999818,33.399999999999636,9.5,-1.6000000000000227,-4.0,-5.0,4.0,40.0,37.0,7.0,-14.0,-1.0,-2.0,-11.0
37,2006-11-01,221.0,206.0,2.0,-16.0,-34.0,11.199999999999818,38.100000000000364,12.100000000000364,1.1000000000000227,0.0,8.0,68.0,49.0,64.0,3.0,15.0,-2.0,3.0,14.0
38,2006-12-01,184.0,179.0,3.0,19.0,-26.0,25.199999999999818,2.100000000000364,20.399999999999636,0.5,10.0,-1.0,35.0,41.0,41.0,9.0,5.0,1.0,-2.0,6.0
39,2007-01-01,223.0,216.0,2.0,40.0,-7.0,3.9000000000005457,35.29999999999927,1.5,0.10000000000002274,-4.0,-3.0,64.0,37.0,46.0,0.0,7.0,1.0,-11.0,17.0
40,2007-02-01,78.0,42.0,5.0,-99.0,-11.0,14.799999999999272,25.399999999999636,1.1000000000003638,-0.10000000000002274,4.0,3.0,32.0,36.0,23.0,8.0,36.0,1.0,27.0,8.0
41,2007-03-01,227.0,209.0,4.0,80.0,-27.0,3.5,58.900000000001455,3.399999999999636,0.6000000000000227,-4.0,-10.0,30.0,56.0,2.0,11.0,18.0,-1.0,4.0,15.0
42,2007-04-01,62.0,36.0,3.0,-20.0,-25.0,15.700000000000728,-18.80000000000109,2.5,2.2999999999999545,5.0,-19.0,17.0,56.0,12.0,6.0,26.0,1.0,3.0,22.0
43,2007-05-01,150.0,132.0,3.0,-13.0,-16.0,7.699999999999818,15.899999999999636,1.3999999999996362,2.300000000000068,5.0,9.0,35.0,45.0,29.0,7.0,18.0,1.0,0.0,17.0
44,2007-06-01,79.0,65.0,5.0,14.0,-18.0,9.899999999999636,-15.199999999998909,-1.5,1.1999999999999318,-2.0,-3.0,10.0,53.0,9.0,3.0,14.0,-4.0,10.0,8.0
45,2007-07-01,-30.0,6.0,2.0,-27.0,-22.0,6.800000000000182,4.899999999999636,3.0,0.10000000000002274,-1.0,2.0,4.0,30.0,4.0,-1.0,-36.0,-2.0,-12.0,-22.0
46,2007-08-01,-25.0,-80.0,-1.0,-50.0,-61.0,-0.5,0.3999999999996362,-3.899999999999636,0.7999999999999545,-9.0,-28.0,10.0,64.0,2.0,-4.0,55.0,11.0,-9.0,53.0
47,2007-09-01,86.0,33.0,0.0,-33.0,-38.0,0.8999999999996362,7.399999999999636,22.0,-0.39999999999997726,3.0,-23.0,-2.0,57.0,42.0,-3.0,53.0,-1.0,27.0,27.0
48,2007-10-01,71.0,53.0,0.0,-12.0,-26.0,7.0,-7.199999999998909,-4.600000000000364,0.39999999999997726,-3.0,-13.0,36.0,37.0,38.0,1.0,18.0,-3.0,-5.0,26.0
49,2007-11-01,118.0,81.0,8.0,-42.0,-7.0,0.2000000000007276,66.79999999999927,-2.7999999999992724,-0.2999999999999545,-3.0,-15.0,1.0,26.0,36.0,13.0,37.0,10.0,5.0,22.0
50,2007-12-01,106.0,64.0,5.0,-33.0,-11.0,0.3999999999996362,-4.899999999999636,-2.600000000000364,1.6000000000000227,1.0,-11.0,46.0,49.0,15.0,8.0,42.0,12.0,2.0,28.0
51,2008-01-01,1.0,-11.0,7.0,-14.0,-21.0,-3.0,-18.299999999999272,1.800000000000182,-0.10000000000002274,0.0,-4.0,-10.0,54.0,-8.0,5.0,12.0,-18.0,9.0,21.0
52,2008-02-01,-76.0,-105.0,1.0,-23.0,-29.0,-10.100000000000364,-40.400000000001455,3.800000000000182,-0.7000000000000455,-7.0,-7.0,-46.0,40.0,1.0,12.0,29.0,9.0,-3.0,23.0
53,2008-03-01,-68.0,-94.0,6.0,-47.0,-37.0,-9.399999999999636,-10.099999999998545,0.7999999999992724,0.10000000000002274,2.0,-1.0,-43.0,50.0,-12.0,7.0,26.0,5.0,8.0,13.0
54,2008-04-01,-217.0,-224.0,0.0,-79.0,-60.0,-21.899999999999636,-80.20000000000073,4.400000000000546,0.5,-8.0,-10.0,-9.0,58.0,-20.0,1.0,7.0,3.0,4.0,0.0
55,2008-05-01,-191.0,-224.0,8.0,-53.0,-35.0,-13.0,-64.60000000000036,-11.600000000000364,-0.10000000000002274,-5.0,-9.0,-60.0,40.0,-13.0,-8.0,33.0,2.0,5.0,26.0
56,2008-06-01,-158.0,-192.0,4.0,-61.0,-60.0,-13.100000000000364,-23.399999999999636,-12.599999999999454,1.0,-7.0,-13.0,-41.0,58.0,-16.0,-7.0,34.0,2.0,17.0,15.0
57,2008-07-01,-197.0,-248.0,4.0,-53.0,-74.0,-21.100000000000364,-38.399999999999636,-5.200000000000728,1.8000000000000682,-14.0,-17.0,-61.0,51.0,-19.0,-3.0,51.0,8.0,12.0,31.0
58,2008-08-01,-283.0,-282.0,8.0,-46.0,-72.0,-20.899999999999636,-60.899999999999636,-17.0,-0.7000000000000455,-15.0,-14.0,-63.0,62.0,-32.0,-10.0,-1.0,-1.0,23.0,-23.0
59,2008-09-01,-451.0,-421.0,5.0,-70.0,-83.0,-12.199999999999818,-67.5,-35.599999999999454,0.5,-10.0,-32.0,-70.0,6.0,-52.0,0.0,-30.0,2.0,-30.0,-2.0
60,2008-10-01,-464.0,-476.0,-2.0,-77.0,-128.0,-39.0,-60.0,-14.800000000000182,1.5,-11.0,-34.0,-109.0,20.0,-27.0,4.0,12.0,4.0,-2.0,10.0
61,2008-11-01,-748.0,-759.0,-4.0,-154.0,-113.0,-36.400000000000546,-129.5,-40.899999999999636,1.6000000000000227,-20.0,-39.0,-170.0,38.0,-52.0,-40.0,11.0,6.0,12.0,-7.0
62,2008-12-01,-697.0,-693.0,-7.0,-112.0,-184.0,-40.399999999999636,-104.60000000000036,-26.900000000000546,0.39999999999997726,-20.0,-33.0,-132.0,41.0,-44.0,-30.0,-4.0,-3.0,-3.0,2.0
63,2009-01-01,-780.0,-803.0,-9.0,-134.0,-289.0,-30.899999999999636,-82.20000000000073,-23.699999999999818,0.10000000000002274,-20.0,-50.0,-155.0,40.0,-34.0,-16.0,23.0,11.0,15.0,-3.0
64,2009-02-01,-758.0,-755.0,-12.0,-121.0,-181.0,-47.900000000000546,-89.0,-24.0,0.6000000000000227,-13.0,-48.0,-196.0,25.0,-29.0,-19.0,-3.0,9.0,-16.0,4.0
65,2009-03-01,-818.0,-802.0,-21.0,-155.0,-172.0,-42.5,-84.89999999999964,-33.5,-0.6000000000000227,-14.0,-42.0,-150.0,7.0,-66.0,-28.0,-16.0,2.0,-10.0,-8.0
66,2009-04-01,-668.0,-785.0,-18.0,-137.0,-178.0,-46.19999999999982,-60.79999999999927,-45.69999999999982,-1.7000000000000455,-32.0,-55.0,-135.0,7.0,-71.0,-11.0,117.0,125.0,2.0,-10.0
67,2009-05-01,-355.0,-295.0,-17.0,-54.0,-168.0,-24.699999999999818,-16.30000000000109,-17.900000000000546,-1.5,-25.0,-28.0,-50.0,61.0,50.0,-4.0,-60.0,-62.0,5.0,-3.0
68,2009-06-01,-468.0,-427.0,-7.0,-90.0,-136.0,-24.0,-14.5,-17.599999999999454,0.3000000000000682,-12.0,-25.0,-106.0,32.0,-30.0,3.0,-41.0,-46.0,-11.0,16.0
69,2009-07-01,-341.0,-286.0,-8.0,-78.0,-58.0,-25.100000000000364,-53.69999999999891,-21.600000000000364,-1.3000000000000682,-17.0,-14.0,-23.0,15.0,2.0,-3.0,-55.0,12.0,-54.0,-13.0
70,2009-08-01,-181.0,-197.0,-9.0,-77.0,-42.0,-17.199999999999818,-7.600000000000364,-10.399999999999636,-0.8999999999999773,-11.0,-25.0,-8.0,52.0,-32.0,-9.0,16.0,-1.0,48.0,-31.0
71,2009-09-01,-240.0,-154.0,-4.0,-68.0,-35.0,-16.800000000000182,-33.70000000000073,-8.300000000000182,0.8999999999999773,2.0,-10.0,6.0,11.0,8.0,-6.0,-86.0,1.0,-26.0,-61.0
72,2009-10-01,-178.0,-251.0,-5.0,-71.0,-53.0,-20.899999999999636,-46.899999999999636,-15.699999999999818,-0.1999999999999318,-5.0,-19.0,19.0,44.0,-59.0,-19.0,73.0,17.0,14.0,42.0
73,2009-11-01,-3.0,-12.0,4.0,-20.0,-29.0,-9.800000000000182,-18.600000000000364,-5.5,-1.1000000000000227,-12.0,5.0,60.0,34.0,-9.0,-10.0,9.0,-1.0,-6.0,16.0
74,2009-12-01,-251.0,-200.0,-1.0,-42.0,-34.0,-13.899999999999636,-30.69999999999891,-49.900000000000546,-1.5,-7.0,-12.0,4.0,34.0,-42.0,-4.0,-51.0,-11.0,-2.0,-38.0
75,2010-01-01,-10.0,-19.0,6.0,-74.0,-15.0,-19.600000000000364,51.899999999999636,20.600000000000364,0.0,-6.0,-11.0,19.0,16.0,-12.0,5.0,9.0,29.0,-5.0,-15.0
76,2010-02-01,-98.0,-83.0,6.0,-80.0,-7.0,-10.699999999999818,-6.399999999999636,0.3999999999996362,-1.2000000000000455,-2.0,-8.0,20.0,19.0,-5.0,-8.0,-15.0,12.0,2.0,-29.0
77,2010-03-01,164.0,122.0,7.0,37.0,0.0,-0.6000000000003638,35.599999999998545,11.400000000000546,-0.2999999999999545,-18.0,-17.0,-17.0,57.0,16.0,11.0,42.0,51.0,-7.0,-2.0
78,2010-04-01,251.0,200.0,5.0,16.0,36.0,0.0,-1.3999999999996362,6.300000000000182,-0.2999999999999545,-5.0,3.0,92.0,6.0,36.0,7.0,51.0,61.0,-4.0,-6.0
79,2010-05-01,530.0,103.0,9.0,-33.0,36.0,-3.699999999999818,7.399999999999636,11.199999999999818,-0.6000000000000227,-6.0,-12.0,36.0,32.0,33.0,-7.0,427.0,432.0,-1.0,-4.0
80,2010-06-01,-144.0,112.0,5.0,-4.0,20.0,4.0,1.7000000000007276,16.899999999999636,-1.6000000000000227,-7.0,-12.0,61.0,21.0,22.0,-15.0,-256.0,-223.0,4.0,-37.0
81,2010-07-01,-81.0,90.0,7.0,-8.0,16.0,1.800000000000182,3.7000000000007276,17.400000000000546,-0.6000000000000227,2.0,-11.0,10.0,25.0,14.0,13.0,-171.0,-142.0,-3.0,-26.0
82,2010-08-01,4.0,153.0,8.0,16.0,-8.0,1.800000000000182,12.699999999998909,-3.7000000000007276,0.10000000000002274,-2.0,-1.0,61.0,37.0,33.0,-2.0,-149.0,-106.0,-6.0,-37.0
83,2010-09-01,-85.0,88.0,7.0,-23.0,10.0,6.199999999999818,5.0,17.400000000000546,-2.1000000000000227,-4.0,7.0,17.0,-16.0,56.0,8.0,-173.0,-76.0,-8.0,-89.0
84,2010-10-01,281.0,231.0,8.0,7.0,-1.0,7.5,41.70000000000073,10.099999999999454,2.2000000000000455,-2.0,1.0,68.0,73.0,-10.0,25.0,50.0,-3.0,17.0,36.0
85,2010-11-01,134.0,144.0,6.0,-2.0,23.0,5.399999999999636,-15.600000000000364,8.900000000000546,-0.5,-6.0,-3.0,94.0,45.0,-1.0,-10.0,-10.0,0.0,0.0,-10.0
86,2010-12-01,81.0,102.0,-3.0,-39.0,10.0,6.800000000000182,-2.899999999999636,24.800000000000182,2.199999999999932,-7.0,4.0,69.0,15.0,31.0,-9.0,-21.0,4.0,-6.0,-19.0
87,2011-01-01,7.0,15.0,3.0,-40.0,26.0,6.199999999999818,51.29999999999927,-32.80000000000018,-1.7999999999999545,-4.0,-4.0,11.0,19.0,-8.0,-11.0,-8.0,4.0,5.0,-17.0
88,2011-02-01,210.0,253.0,2.0,24.0,33.0,12.900000000000546,21.30000000000109,30.899999999999636,1.7999999999999545,-6.0,-4.0,78.0,10.0,39.0,10.0,-43.0,2.0,-32.0,-13.0
89,2011-03-01,225.0,248.0,15.0,26.0,21.0,16.199999999999818,20.69999999999891,10.5,-0.599999999999909,0.0,5.0,66.0,14.0,59.0,-5.0,-23.0,1.0,-10.0,-14.0
90,2011-04-01,327.0,335.0,14.0,8.0,29.0,13.099999999999454,68.20000000000073,18.699999999999818,1.0,2.0,-1.0,62.0,60.0,51.0,9.0,-8.0,-7.0,-5.0,4.0
91,2011-05-01,100.0,155.0,10.0,31.0,9.0,5.700000000000728,-0.1000000000003638,8.200000000000728,-0.6000000000000227,5.0,22.0,51.0,15.0,-5.0,4.0,-55.0,1.0,-8.0,-48.0
92,2011-06-01,232.0,197.0,11.0,12.0,14.0,8.0,32.899999999999636,15.899999999999636,-0.10000000000002274,6.0,-12.0,15.0,36.0,50.0,8.0,35.0,-11.0,-4.0,50.0
93,2011-07-01,55.0,170.0,12.0,19.0,19.0,8.199999999999818,38.80000000000109,2.300000000000182,-1.3999999999999773,-10.0,3.0,9.0,39.0,27.0,5.0,-115.0,2.0,-21.0,-96.0
94,2011-08-01,133.0,165.0,3.0,5.0,18.0,9.399999999999636,1.8999999999996362,6.800000000000182,0.5,-43.0,4.0,75.0,40.0,25.0,19.0,-32.0,-12.0,21.0,-41.0
95,2011-09-01,221.0,255.0,10.0,32.0,5.0,4.600000000000364,8.0,5.299999999999272,0.5,44.0,-2.0,64.0,48.0,31.0,5.0,-34.0,-4.0,-7.0,-23.0
96,2011-10-01,212.0,197.0,5.0,4.0,11.0,15.0,12.0,8.200000000000728,-0.5,1.0,13.0,47.0,42.0,38.0,1.0,15.0,4.0,-16.0,27.0
97,2011-11-01,144.0,171.0,6.0,5.0,-10.0,7.199999999999818,17.0,4.099999999999454,0.5,-1.0,13.0,35.0,39.0,47.0,8.0,-27.0,-8.0,-6.0,-13.0
98,2011-12-01,200.0,217.0,6.0,18.0,32.0,19.899999999999636,-9.0,0.1000000000003638,-0.39999999999997726,3.0,8.0,67.0,34.0,27.0,11.0,-17.0,-6.0,-3.0,-8.0
99,2012-01-01,345.0,353.0,9.0,15.0,36.0,15.0,63.5,18.0,1.099999999999909,-14.0,6.0,86.0,44.0,62.0,12.0,-8.0,-3.0,-2.0,-3.0
100,2012-02-01,272.0,271.0,6.0,3.0,22.0,12.300000000000182,-12.0,25.899999999999636,-0.09999999999990905,11.0,9.0,70.0,83.0,41.0,0.0,1.0,-5.0,3.0,3.0
101,2012-03-01,226.0,230.0,3.0,-4.0,38.0,6.400000000000546,17.19999999999891,4.800000000000182,0.39999999999997726,2.0,23.0,34.0,32.0,65.0,8.0,-4.0,0.0,3.0,-7.0
102,2012-04-01,83.0,95.0,1.0,-7.0,18.0,14.299999999999272,11.300000000001091,-12.100000000000364,-0.20000000000004547,2.0,4.0,49.0,18.0,3.0,-6.0,-12.0,-2.0,4.0,-14.0
103,2012-05-01,108.0,128.0,5.0,-14.0,11.0,10.300000000000182,6.199999999998909,32.600000000000364,-0.1999999999999318,5.0,11.0,25.0,40.0,-4.0,0.0,-20.0,-3.0,-3.0,-14.0
104,2012-06-01,72.0,53.0,-1.0,17.0,9.0,5.800000000000182,-20.19999999999891,0.1999999999998181,0.7999999999999545,-11.0,-1.0,56.0,-9.0,-3.0,9.0,19.0,1.0,7.0,11.0
105,2012-07-01,146.0,163.0,-3.0,11.0,28.0,11.0,-9.600000000000364,12.199999999999818,-7.399999999999977,5.0,-3.0,43.0,35.0,33.0,8.0,-17.0,-9.0,-4.0,-4.0
106,2012-08-01,177.0,174.0,-1.0,16.0,-4.0,0.0,11.200000000000728,12.300000000000182,7.600000000000023,-4.0,9.0,32.0,28.0,69.0,-2.0,3.0,5.0,8.0,-10.0
107,2012-09-01,182.0,173.0,-4.0,13.0,-6.0,-3.399999999999636,26.799999999999272,3.9000000000005457,0.1999999999999318,-5.0,13.0,15.0,40.0,68.0,11.0,9.0,2.0,13.0,-6.0
108,2012-10-01,159.0,181.0,-9.0,13.0,7.0,11.0,15.799999999999272,10.5,-0.5,-4.0,9.0,74.0,40.0,11.0,4.0,-22.0,2.0,-21.0,-3.0
109,2012-11-01,163.0,183.0,6.0,10.0,-11.0,3.0999999999994543,80.90000000000146,-8.5,-2.3999999999999773,8.0,7.0,54.0,6.0,27.0,2.0,-20.0,-15.0,-3.0,-2.0
110,2012-12-01,241.0,237.0,5.0,40.0,10.0,5.800000000000182,-31.30000000000109,35.599999999999454,0.0,3.0,13.0,36.0,48.0,68.0,4.0,4.0,-3.0,-4.0,11.0
111,2013-01-01,190.0,208.0,4.0,22.0,23.0,13.100000000000364,23.700000000000728,1.300000000000182,0.2999999999999545,-15.0,8.0,42.0,21.0,59.0,6.0,-18.0,0.0,-19.0,1.0
112,2013-02-01,279.0,267.0,6.0,38.0,13.0,3.699999999999818,20.0,-1.699999999999818,0.40000000000009095,36.0,14.0,93.0,2.0,45.0,-2.0,12.0,0.0,16.0,-4.0
113,2013-03-01,145.0,156.0,1.0,18.0,3.0,2.0,1.1000000000003638,-6.400000000000546,-1.6000000000000227,2.0,5.0,56.0,49.0,31.0,-5.0,-11.0,-12.0,7.0,-6.0
114,2013-04-01,187.0,188.0,-2.0,-6.0,1.0,0.3000000000001819,14.599999999998545,14.5,1.6999999999999318,-4.0,16.0,62.0,47.0,39.0,4.0,-1.0,0.0,-5.0,4.0
115,2013-05-01,215.0,220.0,5.0,33.0,0.0,4.399999999999636,27.80000000000109,-3.899999999999636,0.7000000000000455,14.0,11.0,54.0,17.0,41.0,16.0,-5.0,-19.0,2.0,12.0
