DATE,HOUST_CH1
1960-01-01,-197
1960-02-01,-164
1960-03-01,-511
1960-04-01,-301
1960-05-01,-227
1960-06-01,-256
1960-07-01,-350
1960-08-01,-86
1960-09-01,-443
1960-10-01,-109
1960-11-01,-170
1960-12-01,-538
1961-01-01,-277
1961-02-01,-277
1961-03-01,203
1961-04-01,-123
1961-05-01,-43
1961-06-01,135
1961-07-01,138
1961-08-01,-32
1961-09-01,332
1961-10-01,169
1961-11-01,139
1961-12-01,302
1962-01-01,178
1962-02-01,52
1962-03-01,131
1962-04-01,358
1962-05-01,255
1962-06-01,22
1962-07-01,115
1962-08-01,205
1962-09-01,-105
1962-10-01,118
1962-11-01,237
1962-12-01,199
1963-01-01,-117
1963-02-01,178
1963-03-01,91
1963-04-01,165
1963-05-01,158
1963-06-01,184
1963-07-01,164
1963-08-01,122
1963-09-01,439
1963-10-01,246
1963-11-01,0
1963-12-01,-73
1964-01-01,359
1964-02-01,364
1964-03-01,-17
1964-04-01,-241
1964-05-01,-174
1964-06-01,-38
1964-07-01,-52
1964-08-01,-70
1964-09-01,-308
1964-10-01,-255
1964-11-01,-136
1964-12-01,-7
1965-01-01,-242
1965-02-01,-387
1965-03-01,-94
1965-04-01,-10
1965-05-01,11
1965-06-01,-62
1965-07-01,-33
1965-08-01,-137
1965-09-01,27
1965-10-01,-72
1965-11-01,-26
1965-12-01,172
1966-01-01,9
1966-02-01,-55
1966-03-01,-29
1966-04-01,-86
1966-05-01,-213
1966-06-01,-294
1966-07-01,-443
1966-08-01,-313
1966-09-01,-436
1966-10-01,-609
1966-11-01,-499
1966-12-01,-666
1967-01-01,-303
1967-02-01,-255
1967-03-01,-338
1967-04-01,-261
1967-05-01,39
1967-06-01,54
1967-07-01,278
1967-08-01,288
1967-09-01,375
1967-10-01,648
1967-11-01,577
1967-12-01,318
1968-01-01,313
1968-02-01,397
1968-03-01,410
1968-04-01,463
1968-05-01,104
1968-06-01,157
1968-07-01,148
1968-08-01,88
1968-09-01,135
1968-10-01,78
1968-11-01,92
1968-12-01,240
1969-01-01,389
1969-02-01,185
1969-03-01,95
1969-04-01,-30
1969-05-01,175
1969-06-01,123
1969-07-01,-144
1969-08-01,-137
1969-09-01,-49
1969-10-01,-188
1969-11-01,-401
1969-12-01,-221
1970-01-01,-684
1970-02-01,-400
1970-03-01,-242
1970-04-01,-260
1970-05-01,-293
1970-06-01,-143
1970-07-01,149
1970-08-01,41
1970-09-01,27
1970-10-01,199
1970-11-01,418
1970-12-01,566
1971-01-01,743
1971-02-01,436
1971-03-01,591
1971-04-01,722
1971-05-01,759
1971-06-01,641
1971-07-01,566
1971-08-01,759
1971-09-01,507
1971-10-01,548
1971-11-01,535
1971-12-01,402
1972-01-01,666
1972-02-01,649
1972-03-01,424
1972-04-01,263
1972-05-01,172
1972-06-01,228
1972-07-01,169
1972-08-01,224
1972-09-01,440
1972-10-01,357
1972-11-01,239
1972-12-01,71
1973-01-01,-13
1973-02-01,-101
1973-03-01,31
1973-04-01,-165
1973-05-01,45
1973-06-01,-187
1973-07-01,-129
1973-08-01,-331
1973-09-01,-607
1973-10-01,-808
1973-11-01,-697
1973-12-01,-840
1974-01-01,-1030
1974-02-01,-537
1974-03-01,-810
1974-04-01,-477
1974-05-01,-840
1974-06-01,-554
1974-07-01,-807
1974-08-01,-909
1974-09-01,-724
1974-10-01,-607
1974-11-01,-698
1974-12-01,-551
1975-01-01,-419
1975-02-01,-848
1975-03-01,-562
1975-04-01,-602
1975-05-01,-305
1975-06-01,-426
1975-07-01,-90
1975-08-01,118
1975-09-01,114
1975-10-01,274
1975-11-01,334
1975-12-01,346
1976-01-01,335
1976-02-01,634
1976-03-01,428
1976-04-01,390
1976-05-01,338
1976-06-01,408
1976-07-01,175
1976-08-01,290
1976-09-01,456
1976-10-01,285
1976-11-01,281
1976-12-01,483
1977-01-01,160
1977-02-01,405
1977-03-01,642
1977-04-01,497
1977-05-01,512
1977-06-01,398
1977-07-01,657
1977-08-01,470
1977-09-01,229
1977-10-01,413
1977-11-01,401
1977-12-01,338
1978-01-01,191
1978-02-01,-205
1978-03-01,-31
1978-04-01,305
1978-05-01,104
1978-06-01,177
1978-07-01,34
1978-08-01,-24
1978-09-01,21
1978-10-01,-61
1978-11-01,52
1978-12-01,-98
1979-01-01,-88
1979-02-01,-218
1979-03-01,-185
1979-04-01,-449
1979-05-01,-199
1979-06-01,-157
1979-07-01,-332
1979-08-01,-218
1979-09-01,-138
1979-10-01,-300
1979-11-01,-570
1979-12-01,-546
1980-01-01,-289
1980-02-01,-170
1980-03-01,-800
1980-04-01,-697
1980-05-01,-949
1980-06-01,-717
1980-07-01,-491
1980-08-01,-342
1980-09-01,-361
1980-10-01,-158
1980-11-01,-14
1980-12-01,-16
1981-01-01,206
1981-02-01,-104
1981-03-01,259
1981-04-01,309
1981-05-01,213
1981-06-01,-151
1981-07-01,-228
1981-08-01,-496
1981-09-01,-560
1981-10-01,-650
1981-11-01,-673
1981-12-01,-572
1982-01-01,-704
1982-02-01,-380
1982-03-01,-375
1982-04-01,-443
1982-05-01,-115
1982-06-01,-143
1982-07-01,125
1982-08-01,106
1982-09-01,233
1982-10-01,300
1982-11-01,535
1982-12-01,393
1983-01-01,743
1983-02-01,833
1983-03-01,675
1983-04-01,555
1983-05-01,751
1983-06-01,831
1983-07-01,619
1983-08-01,864
1983-09-01,566
1983-10-01,542
1983-11-01,413
1983-12-01,385
1984-01-01,311
1984-02-01,561
1984-03-01,57
1984-04-01,379
1984-05-01,-2
1984-06-01,110
1984-07-01,-53
1984-08-01,-324
1984-09-01,-12
1984-10-01,-125
1984-11-01,-96
1984-12-01,-76
1985-01-01,-186
1985-02-01,-628
1985-03-01,137
1985-04-01,-30
1985-05-01,-94
1985-06-01,-167
1985-07-01,-48
1985-08-01,157
1985-09-01,-22
1985-10-01,244
1985-11-01,9
1985-12-01,330
1986-01-01,261
1986-02-01,216
1986-03-01,76
1986-04-01,112
1986-05-01,174
1986-06-01,171
1986-07-01,98
1986-08-01,64
1986-09-01,11
1986-10-01,-153
1986-11-01,-75
1986-12-01,-109
1987-01-01,-198
1987-02-01,-64
1987-03-01,-150
1987-04-01,-319
1987-05-01,-226
1987-06-01,-253
1987-07-01,-207
1987-08-01,-202
1987-09-01,8
1987-10-01,-166
1987-11-01,33
1987-12-01,-433
1988-01-01,-503
1988-02-01,-311
1988-03-01,-194
1988-04-01,-41
1988-05-01,-207
1988-06-01,-116
1988-07-01,-108
1988-08-01,-112
1988-09-01,-203
1988-10-01,7
1988-11-01,-87
1988-12-01,163
1989-01-01,350
1989-02-01,-48
1989-03-01,-110
1989-04-01,-234
1989-05-01,-90
1989-06-01,-81
1989-07-01,-40
1989-08-01,-161
1989-09-01,-213
1989-10-01,-112
1989-11-01,-218
1989-12-01,-312
1990-01-01,-70
1990-02-01,12
1990-03-01,-133
1990-04-01,-91
1990-05-01,-119
1990-06-01,-220
1990-07-01,-256
1990-08-01,-217
1990-09-01,-169
1990-10-01,-396
1990-11-01,-206
1990-12-01,-282
1991-01-01,-753
1991-02-01,-472
1991-03-01,-368
1991-04-01,-247
1991-05-01,-216
1991-06-01,-141
1991-07-01,-108
1991-08-01,-66
1991-09-01,-95
1991-10-01,65
1991-11-01,-42
1991-12-01,110
1992-01-01,378
1992-02-01,285
1992-03-01,376
1992-04-01,98
1992-05-01,218
1992-06-01,109
1992-07-01,76
1992-08-01,177
1992-09-01,171
1992-10-01,165
1992-11-01,111
1992-12-01,148
1993-01-01,34
1993-02-01,-40
1993-03-01,-214
1993-04-01,159
1993-05-01,46
1993-06-01,135
1993-07-01,115
1993-08-01,74
1993-09-01,157
1993-10-01,148
1993-11-01,162
1993-12-01,306
1994-01-01,62
1994-02-01,127
1994-03-01,481
1994-04-01,207
1994-05-01,266
1994-06-01,129
1994-07-01,185
1994-08-01,150
1994-09-01,131
1994-10-01,58
1994-11-01,135
1994-12-01,-78
1995-01-01,135
1995-02-01,-21
1995-03-01,-315
1995-04-01,-198
1995-05-01,-212
1995-06-01,-128
1995-07-01,22
1995-08-01,-34
1995-09-01,-105
1995-10-01,-81
1995-11-01,-59
1995-12-01,-24
1996-01-01,60
1996-02-01,175
1996-03-01,175
1996-04-01,249
1996-05-01,190
1996-06-01,186
1996-07-01,11
1996-08-01,141
1996-09-01,106
1996-10-01,23
1996-11-01,37
1996-12-01,-61
1997-01-01,-112
1997-02-01,-5
1997-03-01,33
1997-04-01,-24
1997-05-01,-62
1997-06-01,27
1997-07-01,-35
1997-08-01,-167
1997-09-01,71
1997-10-01,128
1997-11-01,21
1997-12-01,196
1998-01-01,170
1998-02-01,98
1998-03-01,110
1998-04-01,48
1998-05-01,94
1998-06-01,147
1998-07-01,261
1998-08-01,224
1998-09-01,36
1998-10-01,195
1998-11-01,150
1998-12-01,226
1999-01-01,223
1999-02-01,86
1999-03-01,143
1999-04-01,13
1999-05-01,75
1999-06-01,-82
1999-07-01,-29
1999-08-01,34
1999-09-01,53
1999-10-01,-107
1999-11-01,-12
1999-12-01,-84
2000-01-01,-112
2000-02-01,67
2000-03-01,-106
2000-04-01,73
2000-05-01,-36
2000-06-01,0
2000-07-01,-206
2000-08-01,-107
2000-09-01,-128
2000-10-01,-59
2000-11-01,-97
2000-12-01,-176
2001-01-01,-36
2001-02-01,-112
2001-03-01,-14
2001-04-01,23
2001-05-01,30
2001-06-01,77
2001-07-01,207
2001-08-01,26
2001-09-01,55
2001-10-01,-9
2001-11-01,51
2001-12-01,36
2002-01-01,98
2002-02-01,204
2002-03-01,52
2002-04-01,-57
2002-05-01,159
2002-06-01,81
2002-07-01,-15
2002-08-01,66
2002-09-01,242
2002-10-01,108
2002-11-01,151
2002-12-01,220
2003-01-01,155
2003-02-01,-200
2003-03-01,84
2003-04-01,51
2003-05-01,-13
2003-06-01,150
2003-07-01,242
2003-08-01,200
2003-09-01,135
2003-10-01,319
2003-11-01,330
2003-12-01,269
2004-01-01,58
2004-02-01,217
2004-03-01,272
2004-04-01,360
2004-05-01,230
2004-06-01,-39
2004-07-01,105
2004-08-01,191
2004-09-01,-34
2004-10-01,105
2004-11-01,-301
2004-12-01,-15
2005-01-01,233
2005-02-01,361
2005-03-01,-134
2005-04-01,58
2005-05-01,44
2005-06-01,240
2005-07-01,52
2005-08-01,71
2005-09-01,246
2005-10-01,-7
2005-11-01,365
2005-12-01,-48
2006-01-01,129
2006-02-01,-88
2006-03-01,105
2006-04-01,-240
2006-05-01,-83
2006-06-01,-266
2006-07-01,-317
2006-08-01,-445
2006-09-01,-431
2006-10-01,-574
2006-11-01,-577
2006-12-01,-345
2007-01-01,-864
2007-02-01,-639
2007-03-01,-474
2007-04-01,-331
2007-05-01,-527
2007-06-01,-354
2007-07-01,-383
2007-08-01,-320
2007-09-01,-537
2007-10-01,-227
2007-11-01,-373
2007-12-01,-612
2008-01-01,-325
2008-02-01,-377
2008-03-01,-490
2008-04-01,-477
2008-05-01,-442
2008-06-01,-402
2008-07-01,-431
2008-08-01,-486
2008-09-01,-363
2008-10-01,-487
2008-11-01,-545
2008-12-01,-477
2009-01-01,-594
2009-02-01,-521
2009-03-01,-500
2009-04-01,-535
2009-05-01,-433
2009-06-01,-461
2009-07-01,-329
2009-08-01,-258
2009-09-01,-235
2009-10-01,-243
2009-11-01,-64
2009-12-01,21
2010-01-01,124
2010-02-01,22
2010-03-01,131
2010-04-01,209
2010-05-01,43
2010-06-01,-49
2010-07-01,-48
2010-08-01,13
2010-09-01,9
2010-10-01,9
2010-11-01,-43
2010-12-01,-42
2011-01-01,16
2011-02-01,-87
2011-03-01,-36
2011-04-01,-133
2011-05-01,-22
2011-06-01,72
2011-07-01,77
2011-08-01,-14
2011-09-01,56
2011-10-01,67
2011-11-01,166
2011-12-01,155
2012-01-01,93
2012-02-01,187
2012-03-01,95
2012-04-01,199
2012-05-01,147
2012-06-01,149
2012-07-01,117
2012-08-01,169
2012-09-01,197
2012-10-01,305
2012-11-01,122
2012-12-01,282
2013-01-01,165
2013-02-01,258.0
2013-03-01,315.0
2013-04-01,82.0
2013-05-01,222.0
2013-06-01,82.0
2013-07-01,140.0
2013-08-01,163.0
2013-09-01,3.0
2013-10-01,10.0
2013-11-01,267.0
2013-12-01,26.0
2014-01-01,0.0
2014-02-01,-18.0
2014-03-01,-40.0
2014-04-01,208.0
2014-05-01,77.0
2014-06-01,72.0
2014-07-01,205.0
2014-08-01,67.0
2014-09-01,173.0
2014-10-01,149.0
2014-11-01,-99.0
2014-12-01,71.0
2015-01-01,197.0
2015-02-01,-58.0
2015-03-01,-10.0
2015-04-01,147.0
2015-05-01,72.0
2015-06-01,294.0
2015-07-01,61.0
2015-08-01,146.0
2015-09-01,201.0
2015-10-01,-16.0
2015-11-01,171.0
2015-12-01,73.0
2016-01-01,7.0
2016-02-01,339.0
2016-03-01,151.0
2016-04-01,-27.0
2016-05-01,69.0
2016-06-01,-2.0
2016-07-01,93.0
2016-08-01,41.0
2016-09-01,-156.0
2016-10-01,255.0
2016-11-01,-32.0
2016-12-01,106.0
2017-01-01,98.0
2017-02-01,46.0
2017-03-01,79.0
2017-04-01,-17.0
2017-05-01,9.0
2017-06-01,46.0
2017-07-01,-33.0
2017-08-01,-12.0
2017-09-01,113.0
2017-10-01,-56.0
2017-11-01,133.0
2017-12-01,-75.0
2018-01-01,109.0
2018-02-01,6.0
2018-03-01,128.0
2018-04-01,130.0
2018-05-01,200.0
2018-06-01,-57.0
2018-07-01,2.0
2018-08-01,129.0
2018-09-01,69.0
2018-10-01,-36.0
2018-11-01,-92.0
2018-12-01,-82.0
2019-01-01,-67.0
2019-02-01,-149.0
2019-03-01,-123.0
2019-04-01,-9.0
2019-05-01,-50.0
2019-06-01,36.0
2019-07-01,37.0
2019-08-01,79.0
2019-09-01,50.0
2019-10-01,111.0
2019-11-01,165.0
2019-12-01,456.0
2020-01-01,340.0
2020-02-01,437.0
2020-03-01,72.0
2020-04-01,-342.0
2020-05-01,-253.0
2020-06-01,38.0
2020-07-01,284.0
2020-08-01,10.0
2020-09-01,163.0
2020-10-01,205.0
2020-11-01,199.0
2020-12-01,112.0
2021-01-01,30.0
2021-02-01,-143.0
2021-03-01,433.0
2021-04-01,559.0
2021-05-01,546.0
2021-06-01,395.0
2021-07-01,64.0
2021-08-01,199.0
2021-09-01,97.0
2021-10-01,35.0
2021-11-01,167.0
2021-12-01,124.0
2022-01-01,67.0
2022-02-01,349.0
2022-03-01,13.0
2022-04-01,319.0
2022-05-01,-57.0
2022-06-01,-100.0
2022-07-01,-222.0
2022-08-01,-71.0
2022-09-01,-97.0
2022-10-01,-140.0
2022-11-01,-285.0
2022-12-01,-430.0
2023-01-01,-329.0
2023-02-01,-335.0
2023-03-01,-333.0
2023-04-01,-455.0
2023-05-01,40.0
2023-06-01,-143.0
2023-07-01,80.0
2023-08-01,-200.0
2023-09-01,-117.0
2023-10-01,-60.0
